school_id,school,school_mascot,abbreviation,conference_id,division,classification,color,alternate_color,logo,stadium_name,school_city,school_state,stadium_latitude,stadium_longitude,stadium_elevation,stadium_capacity,stadium_grass,stadium_dome
79,Southern Illinois,Salukis,SIU,21,,fcs,#85283D,#c2c3c0,https://cdn.collegefootballdata.com/logos/500/79.png,Saluki Stadium,Carbondale,IL,37.708637,-89.216212,126.7586365,15000,FALSE,FALSE
93,Murray State,Racers,MUR,21,,fcs,#002148,#000e00,https://cdn.collegefootballdata.com/logos/500/93.png,Roy Stewart Stadium,Murray,KY,36.6215165,-88.3175531,152.6495667,16800,FALSE,FALSE
155,North Dakota,Fighting Hawks,UND,21,,fcs,#00A26B,#c2c3c0,https://cdn.collegefootballdata.com/logos/500/155.png,Alerus Center,Grand Forks,ND,47.910622,-97.090996,255.2472076,12283,FALSE,TRUE
233,South Dakota,Coyotes,SDAK,21,,fcs,#CD1241,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/233.png,DakotaDome,Vermillion,SD,42.7911218,-96.9278427,373.3928833,9100,FALSE,TRUE
282,Indiana State,Sycamores,INST,21,,fcs,#00669a,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/282.png,Memorial Stadium,Terre Haute,IN,39.4746858,-87.3669599,155.5213165,12764,FALSE,FALSE
2287,Illinois State,Redbirds,ILST,21,,fcs,#CE1126,#ffe716,https://cdn.collegefootballdata.com/logos/500/2287.png,Hancock Stadium,Normal,IL,40.5125091,-88.9967177,242.8722687,15000,FALSE,FALSE
2460,Northern Iowa,Panthers,UNI,21,,fcs,#473282,#ffffff,https://cdn.collegefootballdata.com/logos/500/2460.png,UNI-Dome,Cedar Falls,IA,42.5156111,-92.4672307,281.8959656,16324,FALSE,TRUE
2571,South Dakota State,Jackrabbits,SDST,21,,fcs,#0033a0,#ffd100,https://cdn.collegefootballdata.com/logos/500/2571.png,Dana J. Dykhouse Stadium,Brookings,SD,44.3210182,-96.7801386,495.7769775,19340,FALSE,FALSE
2754,Youngstown State,Penguins,YSU,21,,fcs,#E51936,#690717,https://cdn.collegefootballdata.com/logos/500/2754.png,Stambaugh Stadium,Youngstown,OH,41.1092964,-80.6501885,298.8893127,20630,FALSE,FALSE
284,Stonehill,Skyhawks,STO,25,,fcs,#000000,#null,https://cdn.collegefootballdata.com/logos/500/284.png,W.B. Mason Stadium,North Easton,MA,42.0667665,-71.1036592,45,2400,FALSE,FALSE
2115,Central Connecticut,Blue Devils,CCSU,25,,fcs,#1B49A2,#d1d5d8,https://cdn.collegefootballdata.com/logos/500/2115.png,Arute Field,New Britain,CT,41.6950591,-72.7616197,41.29866409,5500,FALSE,FALSE
2184,Duquesne,Dukes,DUQ,25,,fcs,#002D62,#b90b2e,https://cdn.collegefootballdata.com/logos/500/2184.png,Arthur J. Rooney Athletic Field,Pittsburgh,PA,40.4355808,-79.9900263,269.4302979,2200,FALSE,FALSE
2341,Long Island University,Sharks,LIU,25,,fcs,#null,#null,https://cdn.collegefootballdata.com/logos/500/2341.png,Bethpage Federal Credit Union Stadium,Brookville,NY,40.816284,-73.589546,236,6000,FALSE,FALSE
2385,Mercyhurst,Lakers,MERC,25,,fcs,#000000,#null,https://cdn.collegefootballdata.com/logos/500/2385.png,Saxon Stadium,Erie,PA,42.1294712,-80.0852695,198,2300,,FALSE
2441,New Haven,Chargers,NHVN,25,,fcs,#041e42,#ffc425,https://cdn.collegefootballdata.com/logos/500/2441.png,Ralph F. DellaCamera Stadium,West Haven,CT,41.2706527,-72.9470471,7,5000,FALSE,FALSE
2523,Robert Morris,Colonials,RMU,25,,fcs,#00214D,#a21d2b,https://cdn.collegefootballdata.com/logos/500/2523.png,Joe Walton Stadium,Moon Township,PA,40.521046,-80.2159227,351.4482422,3000,FALSE,FALSE
2681,Wagner,Seahawks,WAG,25,,fcs,#00483A,#ffffff,https://cdn.collegefootballdata.com/logos/500/2681.png,Wagner College Stadium,Staten Island,NY,40.614688,-74.090639,63.39014053,3300,FALSE,FALSE
2127,Charleston Southern,Buccaneers,CHSO,26,,fcs,#2e3192,#ded090,https://cdn.collegefootballdata.com/logos/500/2127.png,Buccaneer Field,North Charleston,SC,32.9810239,-80.0659664,12.6744318,4000,FALSE,FALSE
2197,Eastern Illinois,Panthers,EIU,26,,fcs,#000000,#bebab9,https://cdn.collegefootballdata.com/logos/500/2197.png,O'Brien Stadium,Charleston,IL,39.4804965,-88.1811618,212.9662933,10000,FALSE,FALSE
2241,Gardner-Webb,Runnin' Bulldogs,GWEB,26,,fcs,#c12535,#909090,https://cdn.collegefootballdata.com/logos/500/2241.png,Ernest W. Spangler Stadium,Boiling Springs,NC,35.2457593,-81.6739887,253.207016,9000,FALSE,FALSE
2546,Southeast Missouri State,Redhawks,SEMO,26,,fcs,#c8102e,#000000,https://cdn.collegefootballdata.com/logos/500/2546.png,Houck Field,Cape Girardeau,MO,37.3034933,-89.5230357,122,10000,FALSE,FALSE
2630,UT Martin,Skyhawks,UTM,26,,fcs,#FF6700,#102a5c,https://cdn.collegefootballdata.com/logos/500/2630.png,Graham Stadium,Martin,TN,36.3448341,-88.8616245,124.6879349,7500,FALSE,FALSE
2634,Tennessee State,Tigers,TNST,26,,fcs,#171796,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/2634.png,Nissan Stadium,Nashville,TN,36.166479,-86.7712898,121.0412598,69143,FALSE,FALSE
2710,Western Illinois,Leathernecks,WIU,26,,fcs,#4e1e8a,#ffc90a,https://cdn.collegefootballdata.com/logos/500/2710.png,Hanson Field,Macomb,IL,40.4683928,-90.6841248,192.8755646,16368,FALSE,FALSE
2815,Lindenwood,Lions,LIN,26,,fcs,#000000,#null,https://cdn.collegefootballdata.com/logos/500/2815.png,Hunter Stadium,Saint Charles,MO,38.7946252,-90.519829,159,7450,FALSE,FALSE
21,San Diego State,Aztecs,SDSU,9,,fbs,#a6192e,#000000,https://cdn.collegefootballdata.com/logos/500/21.png,Snapdragon Stadium,San Diego,CA,32.784444,-117.122833,62,35000,TRUE,FALSE
36,Colorado State,Rams,CSU,9,,fbs,#1e4d2b,#c8c372,https://cdn.collegefootballdata.com/logos/500/36.png,Canvas Stadium,Fort Collins,CO,40.570015,-105.088435,1528.4,36500,FALSE,FALSE
68,Boise State,Broncos,BOIS,9,,fbs,#0033a0,#d64309,https://cdn.collegefootballdata.com/logos/500/68.png,Albertsons Stadium,Boise,ID,43.6028839,-116.1958882,823.2221069,36387,FALSE,FALSE
204,Oregon State,Beavers,ORST,9,,fbs,#dc4405,#000000,https://cdn.collegefootballdata.com/logos/500/204.png,Reser Stadium,Corvallis,OR,44.5594559,-123.2814341,66.90744781,43363,FALSE,FALSE
265,Washington State,Cougars,WSU,9,,fbs,#a60f2d,#4d4d4d,https://cdn.collegefootballdata.com/logos/500/265.png,Gesa Field,Pullman,WA,46.731831,-117.1604991,773.9526367,32952,FALSE,FALSE
278,Fresno State,Bulldogs,FRES,9,,fbs,#c41230,#13284c,https://cdn.collegefootballdata.com/logos/500/278.png,Valley Children's Stadium,Fresno,CA,36.8143527,-119.7580092,102.564064,41031,FALSE,FALSE
326,Texas State,Bobcats,TXST,9,,fbs,#501214,#6a5638,https://cdn.collegefootballdata.com/logos/500/326.png,Bobcat Stadium (TX),San Marcos,TX,29.8910008,-97.9255735,177.8676453,30000,FALSE,FALSE
328,Utah State,Aggies,USU,9,,fbs,#0f2439,#ffffff,https://cdn.collegefootballdata.com/logos/500/328.png,Maverik Stadium,Logan,UT,41.7517394,-111.8116007,1427.914429,25513,FALSE,FALSE
46,Georgetown,Hoyas,GTWN,27,,fcs,#110E42,#001c58,https://cdn.collegefootballdata.com/logos/500/46.png,Cooper Field,Washington,DC,38.9080248,-77.0753144,32.38431549,3750,FALSE,FALSE
107,Holy Cross,Crusaders,HC,27,,fcs,#582c83,#ffffff,https://cdn.collegefootballdata.com/logos/500/107.png,Fitton Field,Worcester,MA,42.2403564,-71.8111424,137.3915253,23500,TRUE,FALSE
222,Villanova,Wildcats,VILL,27,,fcs,#00205b,#13b5ea,https://cdn.collegefootballdata.com/logos/500/222.png,Villanova Stadium,Villanova,PA,40.0343329,-75.3367666,127.3836746,12500,FALSE,FALSE
257,Richmond,Spiders,RICH,27,,fcs,#9e0712,#b90b2e,https://cdn.collegefootballdata.com/logos/500/257.png,E. Claiborne Robins Stadium,Richmond,VA,37.5807765,-77.5372211,60.03879166,8217,FALSE,FALSE
322,Lafayette,Leopards,LAF,27,,fcs,#790000,#a59474,https://cdn.collegefootballdata.com/logos/500/322.png,Fisher Field,Easton,PA,40.7009796,-75.2106499,81.43208313,13132,FALSE,FALSE
2083,Bucknell,Bison,BUCK,27,,fcs,#000060,#00316e,https://cdn.collegefootballdata.com/logos/500/2083.png,Christy Mathewson-Memorial Stadium,Lewisburg,PA,40.9519411,-76.884752,151.194931,13100,FALSE,FALSE
2142,Colgate,Raiders,COLG,27,,fcs,#821019,#ffffff,https://cdn.collegefootballdata.com/logos/500/2142.png,Andy Kerr Stadium,Hamilton,NY,42.8168991,-75.5452721,337.1443787,10221,FALSE,FALSE
2230,Fordham,Rams,FOR,27,,fcs,#830032,#909090,https://cdn.collegefootballdata.com/logos/500/2230.png,Jack Coffey Field,Bronx,NY,40.8466508,-73.8785937,22,7000,FALSE,FALSE
2329,Lehigh,Mountain Hawks,LEH,27,,fcs,#6c2b2a,#b69e70,https://cdn.collegefootballdata.com/logos/500/2329.png,Goodman Stadium,Bethlehem,PA,40.5890837,-75.3553874,90.32305145,16000,FALSE,FALSE
2729,William & Mary,Tribe,W&M,27,,fcs,#115740,#f0b323,https://cdn.collegefootballdata.com/logos/500/2729.png,Zable Stadium,Williamsburg,VA,37.2730996,-76.7137202,26.07615852,12400,FALSE,FALSE
56,Stetson,Hatters,STET,28,,fcs,#0a5640,#56854e,https://cdn.collegefootballdata.com/logos/500/56.png,Spec Martin Municipal Stadium,DeLand,FL,29.0208575,-81.2993746,14.65544891,6000,TRUE,FALSE
301,San Diego,Toreros,USD,28,,fcs,#2f99d4,#2f99d4,https://cdn.collegefootballdata.com/logos/500/301.png,Torero Stadium,San Diego,CA,32.7730674,-117.183721,57.95064545,6000,TRUE,FALSE
2086,Butler,Bulldogs,BTLR,28,,fcs,#0d1361,#00a3e0,https://cdn.collegefootballdata.com/logos/500/2086.png,Butler Bowl,Indianapolis,IN,39.8444694,-86.1659242,221.1980591,5647,FALSE,FALSE
2166,Davidson,Wildcats,DAV,28,,fcs,#000000,#e51837,https://cdn.collegefootballdata.com/logos/500/2166.png,Richardson Stadium,Davidson,NC,35.4995744,-80.8428419,249.4658203,6000,FALSE,FALSE
2168,Dayton,Flyers,DAY,28,,fcs,#004B8D,#ffffff,https://cdn.collegefootballdata.com/logos/500/2168.png,Welcome Stadium,Dayton,OH,39.7369239,-84.1981068,222.4020081,11000,FALSE,FALSE
2181,Drake,Bulldogs,DRKE,28,,fcs,#005596,#bec0c2,https://cdn.collegefootballdata.com/logos/500/2181.png,Drake Stadium,Des Moines,IA,41.605,-93.655,277.8869934,14557,FALSE,FALSE
2368,Marist,Red Foxes,MRST,28,,fcs,#e53730,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/2368.png,Leonidoff Field,Poughkeepsie,NY,41.7191409,-73.9329549,24.94474983,5000,FALSE,FALSE
2413,Morehead State,Eagles,MORE,28,,fcs,#094FA3,#fed91a,https://cdn.collegefootballdata.com/logos/500/2413.png,Jayne Stadium,Morehead,KY,38.1916481,-83.4253315,228.1033936,10000,FALSE,FALSE
2506,Presbyterian,Blue Hose,PRES,28,,fcs,#194896,#990134,https://cdn.collegefootballdata.com/logos/500/2506.png,Bailey Memorial Stadium,Clinton,SC,34.46158,-81.861368,194.1601868,6500,TRUE,FALSE
2674,Valparaiso,Beacons,VAL,28,,fcs,#794500,#null,https://cdn.collegefootballdata.com/logos/500/2674.png,Brown Field,Valparaiso,IN,41.465642,-87.0479446,244.6367645,5000,FALSE,FALSE
2900,St. Thomas (MN),Tommies,STMN,28,,fcs,#000000,#null,https://cdn.collegefootballdata.com/logos/500/2900.png,O'Shaughnessy Stadium,Saint Paul,MN,44.9497487,-93.0931028,237,5025,FALSE,FALSE
2,Auburn,Tigers,AUB,8,,fbs,#0c2340,#f26522,https://cdn.collegefootballdata.com/logos/500/2.png,Jordan-Hare Stadium,Auburn,AL,32.6025532,-85.4897479,201.1737976,87451,TRUE,FALSE
8,Arkansas,Razorbacks,ARK,8,,fbs,#a32136,#ffffff,https://cdn.collegefootballdata.com/logos/500/8.png,Razorback Stadium,Fayetteville,AR,36.0680662,-94.1789534,403.7972412,80000,FALSE,FALSE
57,Florida,Gators,FLA,8,,fbs,#0021a5,#fa4616,https://cdn.collegefootballdata.com/logos/500/57.png,Ben Hill Griffin Stadium,Gainesville,FL,29.6499357,-82.3485788,44.97250748,88548,TRUE,FALSE
61,Georgia,Bulldogs,UGA,8,,fbs,#ba0c2f,#2c2a29,https://cdn.collegefootballdata.com/logos/500/61.png,Sanford Stadium,Athens,GA,33.9498197,-83.3733813,186.1120758,92746,TRUE,FALSE
96,Kentucky,Wildcats,UK,8,,fbs,#0033a0,#ffffff,https://cdn.collegefootballdata.com/logos/500/96.png,Kroger Field,Lexington,KY,38.0220905,-84.5053408,307.4248962,61000,FALSE,FALSE
99,LSU,Tigers,LSU,8,,fbs,#461d7c,#fdd023,https://cdn.collegefootballdata.com/logos/500/99.png,Tiger Stadium (LA),Baton Rouge,LA,30.412035,-91.1838163,7.640734673,102321,TRUE,FALSE
142,Missouri,Tigers,MIZ,8,,fbs,#f1b82d,#000000,https://cdn.collegefootballdata.com/logos/500/142.png,Memorial Stadium,Columbia,MO,38.9358491,-92.3332009,212.6865692,71168,FALSE,FALSE
145,Ole Miss,Rebels,MISS,8,,fbs,#13294b,#cf142b,https://cdn.collegefootballdata.com/logos/500/145.png,Vaught-Hemingway Stadium,Oxford,MS,34.3619837,-89.5342076,146.8517151,64038,TRUE,FALSE
201,Oklahoma,Sooners,OU,8,,fbs,#841617,#ffffff,https://cdn.collegefootballdata.com/logos/500/201.png,"Memorial Stadium (Norman, OK)",Norman,OK,35.2058537,-97.4423145,355.0962524,86112,TRUE,FALSE
238,Vanderbilt,Commodores,VAN,8,,fbs,#000000,#cfae70,https://cdn.collegefootballdata.com/logos/500/238.png,FirstBank Stadium,Nashville,TN,36.1440455,-86.8088942,159.9194641,40351,FALSE,FALSE
245,Texas A&M,Aggies,TA&M,8,,fbs,#500000,#ffffff,https://cdn.collegefootballdata.com/logos/500/245.png,Kyle Field,College Station,TX,30.6098891,-96.3403828,108.824585,102733,TRUE,FALSE
251,Texas,Longhorns,TEX,8,,fbs,#bf5700,#ffffff,https://cdn.collegefootballdata.com/logos/500/251.png,DKR-Texas Memorial Stadium,Austin,TX,30.2836813,-97.7325345,160.3089447,100119,FALSE,FALSE
333,Alabama,Crimson Tide,ALA,8,,fbs,#9e1b32,#ffffff,https://cdn.collegefootballdata.com/logos/500/333.png,Bryant-Denny Stadium,Tuscaloosa,AL,33.2082752,-87.5503836,70.05136108,101821,TRUE,FALSE
